whisky_name,whisky_type,ratings,reviews_count,volume_alcohol_percentage,stock_flag,price,description,image_url,whisky_link
Hakushu Distiller's Reserve,Japanese Single Malt Whisky,4.5,(28 Reviews),70cl / 43%,In Stock,£66.95,"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.",https://img.thewhiskyexchange.com/900/japan_hak16.jpg,https://www.thewhiskyexchange.com/p/23771/hakushu-distillers-reserve
Suntory Hibiki Harmony,Japanese Blended Whisky,4,(56 Reviews),70cl / 43%,In Stock,£71.95,"Hibiki Japanese Harmony is a blend of Japanese malt and grain whiskies from Yamazaki, Hakushu and Chita. Presented in the brand's trademark 24-faceted bottle representing the Japanese seasons, this is light, approachable and moreish with enticing notes of orange peel and white chocolate.",https://img.thewhiskyexchange.com/900/japan_hib11.jpg,https://www.thewhiskyexchange.com/p/29388/suntory-hibiki-harmony
Yamazaki 12 Year Old,Japanese Single Malt Whisky,4.5,(90 Reviews),70cl / 43%,In Stock,£135,"One of the first Japanese single malts to break into the UK market, Suntory's Yamazaki 12 Year Old continues to impress with its well-balanced fruity sweetness, something that appeals to novice and experienced whisky drinkers alike.",https://img.thewhiskyexchange.com/900/japan_yam1.jpg,https://www.thewhiskyexchange.com/p/2940/yamazaki-12-year-old
Ichiro's Malt & Grain Japanese Whisky,Japanese Blended Whisky,4.5,(2 Reviews),70cl / 46.5%,In Stock,£69.95,"A blend from the king of independent Japanese distillers, Ichiro Akuto. In addition to whisky from his own Chichibu distillery, it also includes whiskies from America, Canada, Scotland and Ireland. As it says on the label – 'This is worldwide blended whisky'.",https://img.thewhiskyexchange.com/900/japan_ich13.jpg,https://www.thewhiskyexchange.com/p/48233/ichiros-malt-grain-japanese-whisky
The Nikka 12 Year Old,,5,(16 Reviews),70cl / 43%,In Stock,£125,"A blend including whisky from Nikka's two distilleries, Yoichi and Miyagikyo, The Nikka 12 is a well-balanced blend. There's green-apple freshness, rich fruitcake spiciness, butterscotch and some green-peppercorn punch. Another winner from Nikka.",https://img.thewhiskyexchange.com/900/japan_nik34.jpg,https://www.thewhiskyexchange.com/p/28580/the-nikka-12-year-old
Suntory Toki,Japanese Blended Whisky,4,(32 Reviews),70cl / 43%,In Stock,£31.95,"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.",https://img.thewhiskyexchange.com/900/japan_sun15.jpg,https://www.thewhiskyexchange.com/p/36362/suntory-toki
Hatozaki Blended Japanese Whisky,Japanese Blended Whisky,3,(3 Reviews),70cl / 40%,In Stock,£29.95,"Named after the oldest stone lighthouse in Japan, Hatozaki blended whisky is made at Kaikyo distillery. Matured in a variety of casks, including sherry, bourbon and Mizunara oak it has a complex character, with notes of cherry blossom, pears and caramel throughout the palate.",https://img.thewhiskyexchange.com/900/japan_hat1.jpg,https://www.thewhiskyexchange.com/p/49821/hatozaki-blended-japanese-whisky
Nikka Pure Malt Red,,4.5,(3 Reviews),50cl / 43%,In Stock,£46.45,"Blended with Japanese malt from Nikka's Yoichi and Miyagikyo distilleries, this is clean, fruity and very easy to drink.",https://img.thewhiskyexchange.com/900/japan_nik8.jpg,https://www.thewhiskyexchange.com/p/2935/nikka-pure-malt-red
Miyagikyo Single Malt,Japanese Single Malt Whisky,4.5,(9 Reviews),70cl / 45%,In Stock,£75.95,"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.",https://img.thewhiskyexchange.com/900/japan_miy10.jpg,https://www.thewhiskyexchange.com/p/32762/miyagikyo-single-malt
Yoichi Single Malt,Japanese Single Malt Whisky,4.5,(8 Reviews),70cl / 45%,In Stock,£75.95,"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.",https://img.thewhiskyexchange.com/900/japan_yoi22.jpg,https://www.thewhiskyexchange.com/p/32761/yoichi-single-malt
Nikka Coffey Malt Whisky,Distillery Bottling,4.5,(40 Reviews),70cl / 45%,In Stock,£60.95,"Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.",https://img.thewhiskyexchange.com/900/japan_nik25.jpg,https://www.thewhiskyexchange.com/p/24156/nikka-coffey-malt-whisky
Hakushu 12 Year Old,Japanese Single Malt Whisky,4.5,(32 Reviews),70cl / 43%,In Stock,£175,"A perennial favourite and a must-try for anyone interested in discovering Japanese whisky. Hakushu is owned by Suntory, founders of the first Japanese distillery, Yamazaki. The original Hakushu distillery was built in 1973, with another distillery building called Hakushu Higashi (east) added in 1981.",https://img.thewhiskyexchange.com/900/japan_hak1.jpg,https://www.thewhiskyexchange.com/p/2922/hakushu-12-year-old
Ichiro's Malt Double Distilleries (46.5%),Japanese Blended Malt Whisky,4.5,(2 Reviews),70cl / 46.5%,In Stock,£115,"The newer, 46.5% version of a vatting of single malt from the Hanyu distillery built by Ichiro Akuto's grandfather with malt from the Chichibu distillery built nearby by Ichiro himself. A deliciously nutty dram.",https://img.thewhiskyexchange.com/900/japan_ich12.jpg,https://www.thewhiskyexchange.com/p/47669/ichiros-malt-double-distilleries-465
Ichiro's Malt Wine Wood Reserve,Japanese Blended Malt Whisky,5,(1 Review),70cl / 46.5%,In Stock,£115,"Ichiro Akuto, founder of Japan's Chichibu distillery, is not only one of the most respected distillers in the country, but he's also a master whisky blender. His Wine Wood Reserve is a blended malt containing Japanese whiskies from Chichibu that have been finished in red wine casks and Scottish whisky. The result is a rich and jammy dram with lots of complexity.",https://img.thewhiskyexchange.com/900/japan_ich11.jpg,https://www.thewhiskyexchange.com/p/46187/ichiros-malt-wine-wood-reserve
Nikka Taketsuru Pure Malt,,4.5,(14 Reviews),70cl / 43%,In Stock,£84.95,"Taketsuru's no-age-statement blended malt contains a high percentage of malt from Miyagikyo, with the reminder coming from Yoichi. Aged on average for around 10 years in a variety of different cask types, including some sherry wood for extra richness.",https://img.thewhiskyexchange.com/900/japan_tak5.jpg,https://www.thewhiskyexchange.com/p/25032/nikka-taketsuru-pure-malt
The Chita Whisky,Japanese Single Grain Whisky,4.5,(39 Reviews),70cl / 43%,In Stock,£49.95,"Chita is Suntory's grain distillery. The flagship release is aged in a combination of wine, sherry and bourbon casks. This is a light whisky with subtle notes of mint, honey and wood spice.",https://img.thewhiskyexchange.com/900/japan_sun17.jpg,https://www.thewhiskyexchange.com/p/37317/the-chita-whisky
Nikka From the Barrel,,4.5,(108 Reviews),50cl / 51.4%,In Stock,£43.95,"Nikka from the Barrel is big-boned and bursting with character. Not averse to a drop of water, either. A real star, winning top prize in its category at the World Whisky Awards in 2007 and 2010.",https://img.thewhiskyexchange.com/900/japan_nik10.jpg,https://www.thewhiskyexchange.com/p/2928/nikka-from-the-barrel
Yamazaki Distiller's Reserve,Japanese Single Malt Whisky,4.5,(52 Reviews),70cl / 43%,In Stock,£69.95,"A fresh and fruity whisky from Yamazaki, full of red fruit and a touch of sherry cask. It's also got some mizunara (Japanese oak) matured whisky in the mix, which comes through as a complex spicy and almost incense-like note. A well put together and deep dram.",https://img.thewhiskyexchange.com/900/japan_yam29.jpg,https://www.thewhiskyexchange.com/p/23772/yamazaki-distillers-reserve
Hakushu 18 Year Old,Japanese Single Malt Whisky,4.5,(9 Reviews),70cl / 43%,In Stock,£600,"A massive step up in quality from the standard Hakushu 12 yrs, this 18yo is amazingly well-defined (as we've come to expect from Japanese whisky) with deliciously rounded fruit and cereal flavours, at times surprisingly reminiscent of the finest Irish potstill whisky (eg Redbreast 15yo).",https://img.thewhiskyexchange.com/900/japan_hak2.jpg,https://www.thewhiskyexchange.com/p/8917/hakushu-18-year-old
Ichiro's Malt & Grain Japanese Blended Whisky 2020,Japanese Blended Malt Whisky,,,70cl / 48.5%,In Stock,"£2,000","A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate.",https://img.thewhiskyexchange.com/900/japan_ich24.jpg,https://www.thewhiskyexchange.com/p/55785/ichiros-malt-grain-japanese-blended-whisky-2020
Nikka Coffey Grain Whisky,Japanese Grain Whisky,4.5,(51 Reviews),70cl / 45%,In Stock,£56.95,"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.",https://img.thewhiskyexchange.com/900/japan_nik24.jpg,https://www.thewhiskyexchange.com/p/23928/nikka-coffey-grain-whisky
Chichibu 2013 Sherry Oloroso Cask Velier 70th Anniversary,Single Malt Japanese Whisky,,,70cl / 61.9%,In Stock,"£1,800","A 2013 Chichibu single malt, matured in a first-fill sherry hogshead before being bottled in 2017 in celebration of bottler Velier's 70th anniversary. This limited-edition bottle features Japanese calligraphy artist Jun Inoue's painting The Red Point on its label.",https://img.thewhiskyexchange.com/900/japan_chi2013.jpg,https://www.thewhiskyexchange.com/p/41686/chichibu-2013-sherry-oloroso-cask-velier-70th-anniversary
Karuizawa 1980 Bot.2015,Japanese Single Malt Whisky,,,70cl / 61.6%,In Stock,"£9,000","Previewed at The Whisky Exchange Whisky Show 2015 as a Dream Dram, Karuizawa 1980 The Golden Samurai is one of the finest examples of sherry-cask-matured Japanese whisky we have ever tried. Bottled from a single cask, there are only a very limited number of bottles available.",https://img.thewhiskyexchange.com/900/japan_kar1980v2.jpg,https://www.thewhiskyexchange.com/p/30004/karuizawa-1980-bot2015
